Language accepted: Java1.7 Parser
Command line: ../../jplag_helper/test_files 
initialize ok
240 submissions

240 submissions parsed successfully!
0 parser errors!


Comparing 2a747371.java-9440901d.java: 60.487804
Comparing 2a747371.java-945d305b.java: 48.11321
Comparing 2a747371.java-946bb819.java: 26.744186
Comparing 2a747371.java-946c247d.java: 52.972973
Comparing 2a747371.java-947c1517.java: 35.359116
Comparing 2a747371.java-95cdbe4f.java: 67.69231
Comparing 2a747371.java-95f9044f.java: 62.032085
Comparing 2a747371.java-96127d8f.java: 40.784313
Comparing 2a747371.java-96144e15.java: 52.910053
Comparing 2a747371.java-9763b971.java: 56.410255
Comparing 2a747371.java-978f54f1.java: 23.140495
Comparing 2a747371.java-97c84219.java: 43.209877
